127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/_TemplatedMixin.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/layout/_ContentPaneResizeMixin.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/dnd/Moveable.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/Tooltip.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/window.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/focus.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/_CssStateMixin.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/layout/ContentPane.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/dnd/autoscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/dnd/Container.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/a11y.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/dnd/common.js HTTP/1.1" 200 452
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/dnd/Avatar.js HTTP/1.1" 200 1690
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/form/_FormWidget.js HTTP/1.1" 200 924
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/_FocusMixin.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/form/_ButtonMixin.js HTTP/1.1" 200 738
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/touch.js HTTP/1.1" 200 334
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/_WidgetBase.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/form/_FormValueWidget.js HTTP/1.1" 200 524
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dojo/Stateful.js HTTP/1.1" 200 823
127.0.0.1 - - [22/Aug/2022:14:23:42 +0200] "GET /exist/apps/bfResources/scripts/dijit/_Contained.js HTTP/1.1" 200 490
